epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.458,0.6406,4.32669,1.24543,0.53245,0.2996,0.33269,0.30945,0.42613,2.45109,1.0398,3.10904e-05,3.10904e-05,3.10904e-05
2,287.007,0.55604,1.93612,1.13071,0.66842,0.56232,0.63509,0.5652,0.45918,1.64294,1.03005,6.03638e-05,6.03638e-05,6.03638e-05
3,428.131,0.54818,1.38928,1.12083,0.71241,0.59417,0.69264,0.61969,0.4641,1.43295,1.02903,8.75691e-05,8.75691e-05,8.75691e-05
4,569.282,0.53908,1.17929,1.11034,0.75347,0.68584,0.77311,0.6919,0.44843,1.07244,1.02131,8.4694e-05,8.4694e-05,8.4694e-05
5,710.172,0.53233,1.0277,1.10767,0.761,0.68649,0.77391,0.69831,0.43946,1.09274,1.00977,8.1592e-05,8.1592e-05,8.1592e-05
6,851.075,0.51007,0.91589,1.08256,0.80356,0.72987,0.81804,0.74061,0.4277,0.93063,0.99542,7.849e-05,7.849e-05,7.849e-05
7,991.901,0.49889,0.85648,1.07727,0.77876,0.75163,0.81499,0.73801,0.42444,0.88812,0.99731,7.5388e-05,7.5388e-05,7.5388e-05
8,1132.34,0.49717,0.79513,1.07918,0.80703,0.73418,0.82067,0.74388,0.43694,0.91074,0.99605,7.2286e-05,7.2286e-05,7.2286e-05
9,1273.33,0.48334,0.7419,1.06494,0.81902,0.77021,0.84336,0.77414,0.39417,0.77382,0.96454,6.9184e-05,6.9184e-05,6.9184e-05
10,1414.2,0.47177,0.72091,1.05516,0.82768,0.76526,0.84341,0.77689,0.39862,0.79043,0.96948,6.6082e-05,6.6082e-05,6.6082e-05
11,1554.9,0.46378,0.67707,1.05111,0.84019,0.76238,0.84646,0.78165,0.38767,0.77196,0.97051,6.298e-05,6.298e-05,6.298e-05
12,1695.88,0.45689,0.65407,1.04635,0.83265,0.78255,0.84919,0.7851,0.39028,0.7339,0.9664,5.9878e-05,5.9878e-05,5.9878e-05
13,1836.76,0.45623,0.62841,1.04598,0.85901,0.76555,0.8533,0.79159,0.37762,0.72407,0.95373,5.6776e-05,5.6776e-05,5.6776e-05
14,1977.44,0.44427,0.60461,1.03857,0.84687,0.75801,0.84625,0.78484,0.37455,0.76053,0.9537,5.3674e-05,5.3674e-05,5.3674e-05
15,2118.03,0.43849,0.58041,1.03476,0.84429,0.78595,0.86,0.79546,0.38051,0.69269,0.95758,5.0572e-05,5.0572e-05,5.0572e-05
16,2258.9,0.43235,0.55968,1.03102,0.85792,0.78159,0.86502,0.8003,0.37025,0.66862,0.95036,4.747e-05,4.747e-05,4.747e-05
17,2399.82,0.42688,0.53148,1.02602,0.85719,0.79622,0.8698,0.80711,0.36888,0.64686,0.95319,4.4368e-05,4.4368e-05,4.4368e-05
18,2540.8,0.42322,0.52221,1.02179,0.8378,0.79616,0.87026,0.80915,0.3644,0.66886,0.94215,4.1266e-05,4.1266e-05,4.1266e-05
19,2681.59,0.41659,0.50501,1.01623,0.85705,0.79188,0.87403,0.81375,0.35781,0.63726,0.94365,3.8164e-05,3.8164e-05,3.8164e-05
20,2822.44,0.41326,0.48628,1.01685,0.87664,0.78319,0.86964,0.81001,0.36477,0.64231,0.94705,3.5062e-05,3.5062e-05,3.5062e-05
21,2963.85,0.2957,0.37704,0.91353,0.84767,0.79048,0.87252,0.81061,0.36324,0.65525,0.94764,3.196e-05,3.196e-05,3.196e-05
22,3104.02,0.28223,0.33573,0.90077,0.8653,0.79484,0.87181,0.81918,0.34977,0.6476,0.92899,2.8858e-05,2.8858e-05,2.8858e-05
23,3244.27,0.27097,0.30681,0.89426,0.85406,0.8045,0.87641,0.82397,0.3398,0.62184,0.92029,2.5756e-05,2.5756e-05,2.5756e-05
24,3384.54,0.27001,0.29688,0.89141,0.85359,0.80961,0.87662,0.8253,0.33674,0.62107,0.92102,2.2654e-05,2.2654e-05,2.2654e-05
25,3524.8,0.26053,0.27679,0.88356,0.86291,0.8146,0.87998,0.82934,0.32812,0.6138,0.91232,1.9552e-05,1.9552e-05,1.9552e-05
26,3665,0.25518,0.26337,0.88173,0.87271,0.80533,0.8834,0.83422,0.32555,0.61481,0.91164,1.645e-05,1.645e-05,1.645e-05
27,3805.18,0.25508,0.26031,0.88336,0.86631,0.8128,0.88207,0.83251,0.3311,0.61435,0.91821,1.3348e-05,1.3348e-05,1.3348e-05
28,3945.02,0.24453,0.24163,0.87234,0.87878,0.80083,0.88083,0.83212,0.32472,0.61444,0.91331,1.0246e-05,1.0246e-05,1.0246e-05
29,4084.96,0.24056,0.23583,0.87075,0.88214,0.80382,0.88463,0.83737,0.31861,0.59983,0.90661,7.144e-06,7.144e-06,7.144e-06
30,4225.13,0.23409,0.22629,0.87309,0.87922,0.81089,0.88355,0.83664,0.31539,0.60555,0.90476,4.042e-06,4.042e-06,4.042e-06
